paper_id,title,actual_decision,predicted_decision,quality_score,accept_probability,modify_probability,reject_probability,suggestions
9rmwPAjk9O,Gradient-Free Kernel Stein Discrepancy,Accept (poster),Accept,79.7,0.5884,0.3788,0.0329,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
D8oHQ2qSTj,Fairness-guided Few-shot Prompting for Large Language Models,Accept (poster),Modify,41.2,0.0552,0.6485,0.2962,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
h3MShWMxNt,Scattering Vision Transformer: Spectral Mixing Matters,Accept (poster),Modify,39.9,0.0857,0.5691,0.3451,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
o7W0Zet6p3,Recovering Unbalanced Communities in the Stochastic Block Model with Application to Clustering with a Faulty Oracle,Accept (poster),Modify,57.7,0.1994,0.6861,0.1145,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Pj6X6GqNy8,Learning Fine-grained View-Invariant Representations from Unpaired Ego-Exo Videos via Temporal Alignment,Accept (poster),Modify,47.6,0.1164,0.6534,0.2302,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
JpU5YmMKx7,Attentive Transfer Entropy to Exploit Transient Emergence of Coupling Effect,Accept (spotlight),Modify,51.3,0.1092,0.7341,0.1567,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
2cYxNWNzk3,Setting the Trap: Capturing and Defeating Backdoors in Pretrained Language Models through Honeypots,Accept (poster),Modify,38.8,0.0692,0.5806,0.3503,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
c9fXCzR5fK,Sequential Subset Matching for Dataset Distillation,Accept (poster),Modify,44.6,0.1022,0.6251,0.2726,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
dB4lvScPIj,SmooSeg: Smoothness Prior for Unsupervised Semantic Segmentation,Accept (poster),Modify,55.0,0.0,1.0,0.0,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Show concrete results and analysis, not only claims. Add a concise conclusion/discussion."
quMBEd27x9,Performance Scaling via Optimal Transport: Enabling Data Selection from Partially Revealed Sources,Accept (poster),Modify,47.6,0.1539,0.5856,0.2605,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pE3yaP0Eqg,FlatMatch: Bridging Labeled Data and Unlabeled Data with Cross-Sharpness for Semi-Supervised Learning,Accept (poster),Modify,37.0,0.0598,0.5633,0.377,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
TKjX41IP7n,CoDet: Co-occurrence Guided Region-Word Alignment for Open-Vocabulary Object Detection,Accept (poster),Modify,38.9,0.0987,0.5282,0.3732,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bRlEwWd7Vy,Distributionally Robust Bayesian Optimization with $\varphi$-divergences,Accept (poster),Modify,42.6,0.1183,0.5598,0.3219,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
txPdKZrrZF,Fed-FA: Theoretically Modeling Client Data Divergence for Federated Language Backdoor Defense,Accept (poster),Modify,40.1,0.0825,0.5786,0.3389,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
7LtzqnfuOs,Dual Self-Awareness Value Decomposition Framework without Individual Global Max for Cooperative MARL,Accept (poster),Modify,38.4,0.1081,0.5022,0.3897,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
q5FAZAIooz,Diff-Foley: Synchronized Video-to-Audio Synthesis with Latent Diffusion Models,Accept (poster),Modify,42.9,0.0452,0.6971,0.2577,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
kS8rIH43Zc,Bayesian Active Causal Discovery with Multi-Fidelity Experiments,Accept (poster),Accept,100.0,1.0,0.0,0.0,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Clarify the method/approach enough for a reviewer to reproduce the idea. Show concrete results and analysis, not only claims. Add a concise conclusion/discussion. Strengthen related-work coverage with more precise citations."
FmpH0CYWiX,NU-MCC: Multiview Compressive Coding with Neighborhood Decoder and Repulsive UDF,Accept (poster),Modify,39.9,0.0884,0.565,0.3466,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
QGrkbaan79,RADAR: Robust AI-Text Detection via Adversarial Learning,Accept (poster),Modify,45.8,0.1088,0.6357,0.2555,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
LROEcjVkv5,Asymptotically Optimal Quantile Pure Exploration for Infinite-Armed Bandits,Accept (poster),Accept,86.4,0.7203,0.262,0.0177,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
7ETbK9lQd7,Exact Optimality of Communication-Privacy-Utility Tradeoffs in Distributed Mean Estimation,Accept (poster),Modify,59.1,0.2791,0.5678,0.1531,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pcuC65JWAa,Reducing Blackwell and Average Optimality to Discounted MDPs via the Blackwell Discount Factor,Accept (poster),Accept,84.3,0.6862,0.2844,0.0294,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
deaHiTb6Cu,Fast Exact Leverage Score Sampling from Khatri-Rao Products with Applications to Tensor Decomposition,Accept (poster),Modify,38.2,0.0621,0.581,0.3569,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
iWWLgcUTZU,PCF-GAN: generating sequential data via the characteristic function of measures on the path space,Accept (poster),Modify,39.0,0.0596,0.6015,0.3388,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
qCglMj6A4z,Gradient Descent with Linearly Correlated Noise: Theory and Applications to Differential Privacy,Accept (poster),Modify,48.8,0.204,0.5173,0.2788,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
tQYGjnxPOm,D$^2$CSG: Unsupervised Learning of Compact CSG Trees with Dual Complements and Dropouts,Accept (poster),Modify,38.0,0.082,0.5412,0.3768,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
mvSDs51eqQ,"Optimality in Mean Estimation: Beyond Worst-Case, Beyond Sub-Gaussian, and Beyond $1+\alpha$ Moments",Accept (poster),Accept,93.3,0.8575,0.1371,0.0054,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
NWEbeI2HNQ,Prefix-Tree Decoding for Predicting Mass Spectra from Molecules,Accept (spotlight),Modify,47.3,0.2152,0.4692,0.3155,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
gdVcFOvxT3,Finding Safe Zones of Markov Decision Processes Policies,Accept (poster),Modify,55.2,0.2093,0.6224,0.1683,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
n3fPDW87is,Robust Distributed Learning: Tight Error Bounds and Breakdown Point under Data Heterogeneity,Accept (spotlight),Accept,78.1,0.5399,0.4392,0.0209,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
BGvkwZEGt7,Large Language Models Are Latent Variable Models: Explaining and Finding Good Demonstrations for In-Context Learning,Accept (poster),Modify,46.4,0.0923,0.6752,0.2326,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
TjgG4UT62W,Kernel Stein Discrepancy thinning: a theoretical perspective of pathologies and a practical fix with regularization,Accept (poster),Modify,57.9,0.2324,0.6294,0.1382,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
716PvHoDct,VPGTrans: Transfer Visual Prompt Generator across LLMs,Accept (poster),Modify,46.3,0.1314,0.6027,0.2659,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pcpjtYNJCH,Initialization-Dependent Sample Complexity of Linear Predictors and Neural Networks,Accept (poster),Accept,74.5,0.5064,0.4331,0.0605,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GYjV1M5s0D,FineMoGen: Fine-Grained Spatio-Temporal Motion Generation and Editing,Accept (poster),Modify,49.1,0.0983,0.7147,0.1871,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
EjMLpTgvKH,Timewarp: Transferable Acceleration of Molecular Dynamics by Learning Time-Coarsened Dynamics,Accept (spotlight),Modify,55.4,0.2422,0.5676,0.1902,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
2BpoGPSDCR,Solving Inverse Physics Problems with Score Matching,Accept (poster),Reject,28.9,0.049,0.436,0.515,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
ktYjrgOENR,DDCoT: Duty-Distinct Chain-of-Thought Prompting for Multimodal Reasoning in Language Models,Accept (poster),Modify,34.2,0.0434,0.5434,0.4132,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
HffQOS3mk8,Diffusion-Based Probabilistic Uncertainty Estimation for Active Domain Adaptation,Accept (poster),Modify,35.0,0.027,0.5866,0.3864,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
h4r00NGkjR,VideoComposer: Compositional Video Synthesis with Motion Controllability,Accept (poster),Modify,54.4,0.1069,0.7942,0.0989,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
iQlK3VJxV7,Uncertainty-Aware Alignment  Network  for Cross-Domain Video-Text Retrieval,Accept (poster),Modify,42.7,0.1059,0.583,0.3111,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
luyXPdkNSN,K-Nearest-Neighbor Local Sampling Based Conditional Independence Testing,Accept (poster),Modify,51.3,0.1245,0.7056,0.17,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SGKbHXoLCI,Collaborative Learning via Prediction Consensus,Accept (poster),Modify,47.9,0.1179,0.6559,0.2262,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pWZ97hUQtQ,Principled Weight Initialisation for Input-Convex Neural Networks,Accept (poster),Modify,50.3,0.125,0.6881,0.1868,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
1q0feiJ2i4,Large Language Models are Visual Reasoning Coordinators,Accept (poster),Modify,46.9,0.0682,0.7292,0.2026,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
4aIpgq1nuI,What Makes Data Suitable for a Locally Connected Neural Network? A Necessary and Sufficient Condition Based on Quantum Entanglement.,Accept (spotlight),Modify,57.5,0.2811,0.5349,0.1839,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lxGFGMMSVl,Spontaneous symmetry breaking in generative diffusion models,Accept (poster),Modify,38.8,0.0831,0.5536,0.3633,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
67MTWzhEOn,Revisit the Power of Vanilla Knowledge Distillation: from Small Scale to Large Scale,Accept (poster),Modify,49.0,0.1086,0.693,0.1984,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
cwjh8lqmOL,GPT4Tools: Teaching Large Language Model to Use Tools via Self-instruction,Accept (poster),Modify,46.0,0.1114,0.6334,0.2552,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nJFJcgjnGo,Evaluating Robustness and Uncertainty of Graph Models Under Structural Distributional Shifts,Accept (poster),Modify,48.4,0.1561,0.5959,0.2481,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
81snFfE3vR,One-step differentiation of iterative algorithms,Accept (spotlight),Modify,44.1,0.1189,0.5856,0.2954,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
rsrfEIdawr,DäRF: Boosting Radiance Fields from Sparse Input Views with Monocular Depth Adaptation,Accept (poster),Modify,40.9,0.0517,0.6494,0.2988,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pb1OwZNgr2,Learning Generalizable Agents via Saliency-guided Features Decorrelation,Accept (spotlight),Modify,47.4,0.1213,0.6411,0.2376,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
DVWIA9v9Jm,R-divergence for Estimating Model-oriented Distribution Discrepancy,Accept (poster),Reject,39.3,0.1706,0.4041,0.4253,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eW233GDOpm,Response Length Perception and  Sequence Scheduling: An LLM-Empowered LLM Inference Pipeline,Accept (poster),Modify,48.1,0.0741,0.7392,0.1867,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
pirH9ycaNg,Kernelized Reinforcement Learning with Order Optimal Regret Bounds,Accept (poster),Modify,63.3,0.2946,0.6159,0.0895,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SVUQX1W7RL,DiffKendall: A Novel Approach for Few-Shot Learning with Differentiable Kendall's Rank Correlation,Accept (poster),Modify,32.3,0.0244,0.5421,0.4336,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
ikkdTD3hQJ,AIMS: All-Inclusive Multi-Level Segmentation for Anything,Accept (spotlight),Modify,31.8,0.018,0.5447,0.4373,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
2NkGfA66Ne,Segment Anything in 3D with NeRFs,Accept (poster),Modify,39.1,0.0424,0.6337,0.324,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
n3ZVdny7OH,DRAUC: An Instance-wise Distributionally Robust AUC Optimization Framework,Accept (poster),Modify,50.3,0.09,0.7512,0.1588,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
i0OmcF14Kf,State-space models with layer-wise nonlinearity are universal approximators with exponential decaying memory,Accept (poster),Accept,78.0,0.5459,0.4249,0.0291,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
IXWaWPkGke,Optimization or Architecture: How to Hack Kalman Filtering,Accept (poster),Modify,49.9,0.1137,0.7011,0.1852,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eTp4RetK74,ASPEN: Breaking Operator Barriers for Efficient Parallelization of Deep Neural Networks,Accept (poster),Modify,42.4,0.1101,0.5707,0.3192,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
iB3Ew6z4WL,"MultiMoDN—Multimodal, Multi-Task, Interpretable Modular Networks",Accept (poster),Modify,56.5,0.1989,0.6661,0.135,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
MDxZYFR5Me,Imbalanced Mixed Linear Regression,Accept (poster),Modify,43.4,0.1502,0.5164,0.3334,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
TcmjewOAd1,L-CAD: Language-based Colorization with Any-level Descriptions using Diffusion Priors,Accept (spotlight),Modify,42.0,0.0762,0.6247,0.2991,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
c2LZyTyddi,BIOT: Biosignal Transformer for Cross-data Learning in the Wild,Accept (poster),Modify,46.2,0.1037,0.6523,0.244,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
I9GNrInbdf,Formulating Discrete Probability Flow Through Optimal Transport,Accept (poster),Modify,48.5,0.1471,0.6143,0.2386,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
0LmWBhIYLi,Universal Prompt Tuning for Graph Neural Networks,Accept (poster),Modify,34.4,0.0569,0.5217,0.4214,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
e8i7OaPj0q,Automatic Clipping: Differentially Private Deep Learning Made Easier and Stronger,Accept (poster),Modify,40.7,0.0698,0.6131,0.317,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
eCgWNU2Imw,On Sparse Modern Hopfield Model,Accept (poster),Modify,52.2,0.1922,0.6005,0.2073,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
avuRopYsCg,Discovering Intrinsic Spatial-Temporal Logic Rules to Explain Human Actions,Accept (poster),Modify,54.7,0.201,0.6291,0.1698,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
mmmd2vp0n0,Transient Neural Radiance Fields for Lidar View Synthesis and 3D Reconstruction,Accept (spotlight),Modify,50.3,0.1481,0.6452,0.2066,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
7xlrdSOm3g,A Theory of Multimodal Learning,Accept (poster),Modify,69.0,0.4405,0.4527,0.1068,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
P9I2VQv1uC,Cause-Effect Inference in Location-Scale Noise Models: Maximum Likelihood vs. Independence Testing,Accept (poster),Modify,51.4,0.1367,0.6869,0.1764,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
ETk6cfS3vk,SlotDiffusion: Object-Centric Generative Modeling with Diffusion Models,Accept (spotlight),Modify,46.7,0.0965,0.6729,0.2306,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
